Date,Home Team,Away Team,Home Goals,Away Goals,Home Ast,Away Ast,FBRef Home xG,FBRef Away xG,FBRef Home npxG,FBRef Away npxG,FBRef Home xA,FBRef Away xA,FBRef Home psxG,FBRef Away psxG,Home Player Stats,Away Player Stats,Away Formation,Home Formation,Home ELO,Away ELO
2017-08-18,Valencia,Las Palmas,1,0,1,0,2.0,0.4,2.0,0.4,1.3,0.2,1.2,0.2,"Team Sheet       Valencia (4-4-2)     Valencia (4-4-2).1
0  ...
Summary           Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Passing           Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Pass Types        Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Defensive         Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Possession        Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Misc              Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
GK              Unnamed: 0_level_0 Unnamed: 1_level_0 Unname...
dtype: object","Team Sheet       Las Palmas (4-1-4-1) Las Palmas (4-1-4-1).1...
Summary           Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Passing           Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Pass Types        Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Defensive         Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Possession        Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Misc              Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
GK               Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
dtype: object",4-1-4-1,4-4-2,1710.67126465,1637.23156738
2017-08-18,Leganés,Alavés,1,0,0,0,1.3,0.9,1.3,0.2,0.6,0.1,1.5,1.1,"Team Sheet       Leganés (4-2-3-1)    Leganés (4-2-3-1).1
0 ...
Summary              Unnamed: 0_level_0 Unnamed: 1_level_0 U...
Passing              Unnamed: 0_level_0 Unnamed: 1_level_0 U...
Pass Types           Unnamed: 0_level_0 Unnamed: 1_level_0 U...
Defensive            Unnamed: 0_level_0 Unnamed: 1_level_0 U...
Possession           Unnamed: 0_level_0 Unnamed: 1_level_0 U...
Misc                 Unnamed: 0_level_0 Unnamed: 1_level_0 U...
GK              Unnamed: 0_level_0 Unnamed: 1_level_0 Unname...
dtype: object","Team Sheet       Alavés (4-2-2-2) Alavés (4-2-2-2).1
0      ...
Summary          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Passing          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Pass Types       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Defensive        Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Possession       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Misc             Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
GK              Unnamed: 0_level_0 Unnamed: 1_level_0 Unname...
dtype: object",4-2-2-2,4-2-3-1,1631.13049316,1716.16430664
2017-08-19,Girona,Atlético Madrid,2,2,1,2,2.5,0.7,2.5,0.7,1.0,0.5,2.0,0.5,"Team Sheet       Girona (3-4-3)   Girona (3-4-3).1
0        ...
Summary          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Passing          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Pass Types       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Defensive        Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Possession       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Misc             Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
GK              Unnamed: 0_level_0 Unnamed: 1_level_0 Unname...
dtype: object","Team Sheet       Atlético Madrid (4-4-2) Atlético Madrid (4-...
Summary           Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Passing           Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Pass Types        Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Defensive         Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Possession        Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Misc              Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
GK              Unnamed: 0_level_0 Unnamed: 1_level_0 Unname...
dtype: object",4-4-2,3-4-3,1616.08959961,1954.34094238
2017-08-19,Celta Vigo,Real Sociedad,2,3,1,1,1.2,2.1,1.2,1.3,0.9,1.2,0.9,2.1,"Team Sheet       Celta Vigo (4-3-3) Celta Vigo (4-3-3).1
0  ...
Summary          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Passing          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Pass Types       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Defensive        Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Possession       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Misc             Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
GK              Unnamed: 0_level_0 Unnamed: 1_level_0 Unname...
dtype: object","Team Sheet       Real Sociedad (4-3-3) Real Sociedad (4-3-3)...
Summary           Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Passing           Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Pass Types        Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Defensive         Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Possession        Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Misc              Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
GK              Unnamed: 0_level_0 Unnamed: 1_level_0 Unname...
dtype: object",4-3-3,4-3-3,1704.37414551,1770.63671875
2017-08-19,Sevilla,Espanyol,1,1,0,0,1.9,1.2,1.9,1.2,1.3,0.3,2.9,0.8,"Team Sheet       Sevilla (4-1-4-1) Sevilla (4-1-4-1).1
0    ...
Summary          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Passing          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Pass Types       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Defensive        Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Possession       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Misc             Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
GK              Unnamed: 0_level_0 Unnamed: 1_level_0 Unname...
dtype: object","Team Sheet       Espanyol (4-4-2)  Espanyol (4-4-2).1
0     ...
Summary           Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Passing           Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Pass Types        Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Defensive         Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Possession        Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Misc              Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
GK              Unnamed: 0_level_0 Unnamed: 1_level_0 Unname...
dtype: object",4-4-2,4-1-4-1,1820.76171875,1726.24633789
2017-08-20,Athletic Club,Getafe,0,0,0,0,0.9,0.4,0.9,0.4,0.8,0.4,0.4,0.8,"Team Sheet       Athletic Club (4-2-3-1) Athletic Club (4-2-...
Summary          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Passing          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Pass Types       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Defensive        Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Possession       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Misc             Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
GK              Unnamed: 0_level_0 Unnamed: 1_level_0 Unname...
dtype: object","Team Sheet       Getafe (4-4-2)    Getafe (4-4-2).1
0       ...
Summary           Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Passing           Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Pass Types        Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Defensive         Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Possession        Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Misc              Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
GK              Unnamed: 0_level_0 Unnamed: 1_level_0 Unname...
dtype: object",4-4-2,4-2-3-1,1791.41259766,1653.85314941
2017-08-20,Barcelona,Betis,1,0,1,0,1.7,0.3,1.7,0.3,1.4,0.1,0.6,0.0,"Team Sheet       Barcelona (4-4-1-1)  Barcelona (4-4-1-1).1
...
Summary              Unnamed: 0_level_0 Unnamed: 1_level_0 U...
Passing              Unnamed: 0_level_0 Unnamed: 1_level_0 U...
Pass Types           Unnamed: 0_level_0 Unnamed: 1_level_0 U...
Defensive            Unnamed: 0_level_0 Unnamed: 1_level_0 U...
Possession           Unnamed: 0_level_0 Unnamed: 1_level_0 U...
Misc                 Unnamed: 0_level_0 Unnamed: 1_level_0 U...
GK                  Unnamed: 0_level_0 Unnamed: 1_level_0 Un...
dtype: object","Team Sheet       Betis (4-3-3)   Betis (4-3-3).1
0          ...
Summary          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Passing          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Pass Types       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Defensive        Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Possession       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Misc             Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
GK              Unnamed: 0_level_0 Unnamed: 1_level_0 Unname...
dtype: object",4-3-3,4-4-1-1,2023.79248047,1646.6673584
2017-08-20,La Coruña,Real Madrid,0,3,0,3,1.9,2.6,1.2,2.6,1.1,1.1,1.0,2.5,"Team Sheet       La Coruña (4-2-3-1) La Coruña (4-2-3-1).1
0...
Summary          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Passing          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Pass Types       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Defensive        Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Possession       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Misc             Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
GK              Unnamed: 0_level_0 Unnamed: 1_level_0 Unname...
dtype: object","Team Sheet       Real Madrid (4-3-3) Real Madrid (4-3-3).1
0...
Summary          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Passing          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Pass Types       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Defensive        Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Possession       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Misc             Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
GK              Unnamed: 0_level_0 Unnamed: 1_level_0 Unname...
dtype: object",4-3-3,4-2-3-1,1653.89978027,2085.1628418
2017-08-21,Levante,Villarreal,1,0,0,0,1.6,0.6,0.8,0.6,0.8,0.6,1.8,0.0,"Team Sheet       Levante (4-3-2-1) Levante (4-3-2-1).1
0    ...
Summary          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Passing          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Pass Types       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Defensive        Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Possession       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Misc             Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
GK              Unnamed: 0_level_0 Unnamed: 1_level_0 Unname...
dtype: object","Team Sheet       Villarreal (4-4-2) Villarreal (4-4-2).1
0  ...
Summary          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Passing          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Pass Types       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Defensive        Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Possession       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Misc             Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
GK              Unnamed: 0_level_0 Unnamed: 1_level_0 Unname...
dtype: object",4-4-2,4-3-2-1,1658.0213623,1796.47058105
2017-08-21,Málaga,Eibar,0,1,0,1,0.6,0.8,0.6,0.8,0.6,0.7,0.5,1.9,"Team Sheet       Málaga (3-4-3)    Málaga (3-4-3).1
0       ...
Summary           Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Passing           Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Pass Types        Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Defensive         Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Possession        Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
Misc              Unnamed: 0_level_0 Unnamed: 1_level_0 Unna...
GK              Unnamed: 0_level_0 Unnamed: 1_level_0 Unname...
dtype: object","Team Sheet       Eibar (4-2-2-2) Eibar (4-2-2-2).1
0        ...
Summary          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Passing          Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Pass Types       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Defensive        Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Possession       Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
Misc             Unnamed: 0_level_0 Unnamed: 1_level_0 Unnam...
GK              Unnamed: 0_level_0 Unnamed: 1_level_0 Unname...
dtype: object",4-2-2-2,3-4-3,1726.78662109,1715.1138916
